,295_남해
0,0.0
1,0.01703101396560669
2,0.017047643661499023
3,0.017046213150024414
4,0.01704108715057373
5,0.017030954360961914
6,0.01696532964706421
7,0.016700148582458496
8,0.015938937664031982
9,0.014780282974243164
10,0.013376891613006592
11,0.011926114559173584
12,0.010681331157684326
13,0.009892046451568604
14,0.009660720825195312
15,0.00962156057357788
16,0.009607195854187012
17,0.009586572647094727
18,0.009566426277160645
19,0.009544909000396729
20,0.009519875049591064
21,0.009500622749328613
22,0.009479880332946777
23,0.009458065032958984
24,0.009436488151550293
25,0.00941622257232666
26,0.009396374225616455
27,0.009375929832458496
28,0.009357929229736328
29,0.00933772325515747
30,0.009295940399169922
31,0.00928849820047617
32,0.009281430393457413
33,0.009200058877468109
34,0.009109877049922943
35,0.009019754827022552
36,0.008938156068325043
37,0.008866451680660248
38,0.00881405919790268
39,0.008785627782344818
40,0.008778713643550873
41,0.008776269853115082
42,0.008774302899837494
43,0.008771918714046478
44,0.008770428597927094
45,0.00876905769109726
